,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2025-05-06,0.16699400717689233,0.4434264826693652,0.2139297406751475,0.161881251764528
2025-05-07,0.08349665359027307,0.4407843468829869,0.2032626829353319,0.1748043433095905
2025-05-08,0.13814809369450654,0.4409318755420778,0.1861238584927553,0.1604648417563881
2025-05-09,0.025363384612683174,0.440180514564208,0.1742242391206839,0.1489852716242696
2025-05-12,0.6468702351998012,0.4401317943242673,0.1597955534174086,0.1416371134493788
2025-05-13,0.13095679592914733,0.4456954423939205,0.2516879223071033,0.1419057502326434
2025-05-14,0.025412170572432755,0.4456848132358113,0.2308330883695875,0.1326876924026709
2025-05-15,0.09693994327761578,0.4456704386727929,0.2093203132838492,0.122756675127193
2025-05-16,0.12562309126223947,0.4455565015691675,0.1919960051974911,0.1152891585145066
2025-05-19,0.021750463462365203,0.4174428126957735,0.1784303055215579,0.1092182702434483
2025-05-20,0.06700525684722443,0.3713901177116488,0.1629242896408956,0.1019999456699372
2025-05-21,0.33811555495547696,0.3716862728387071,0.1517247977027414,0.1068967683141329
2025-05-22,0.007849350189256562,0.3723000604894158,0.1809029374772678,0.1640925203186846
2025-05-23,0.13626889875944045,0.241510683554301,0.165122126782845,0.1500259606650896
2025-05-27,0.4094069396350379,0.1988240682241037,0.159155841582616,0.1596665362861385
2025-05-28,0.11544431122354501,0.2008096481898948,0.1938185233442257,0.1531370837974816
2025-05-29,0.07838479666820508,0.2016168155469865,0.1816488881319514,0.1589709640180763
2025-05-30,0.02226596351400663,0.2009113558838131,0.1669592557561602,0.1466401038656772
2025-06-02,0.11175462514349256,0.1862836582807577,0.1533383869191932,0.1391430463977465
2025-06-03,0.11313643179804321,0.1862126690741351,0.1441942172746462,0.1299322616523461
2025-06-04,0.005342972266836184,0.1661625392097969,0.1364902761652795,0.1218847481443305
2025-06-05,0.0963843760645914,0.1546415217194564,0.1263341826189507,0.115004853585324
2025-06-06,0.20326811686817972,0.1529029917818234,0.1229224884369786,0.1230112650081936
2025-06-09,0.017924596568875975,0.145298805249054,0.1294017467640202,0.1174184695318883
2025-06-10,0.11248468269319138,0.1448833655294469,0.1199652737114592,0.1091851842764209
2025-06-11,0.05682527770930001,0.1449104961072363,0.116033900655606,0.1035870281664116
2025-06-12,0.07891649948338592,0.1455422060708578,0.1110006969875998,0.106667460293399
2025-06-13,0.22369249022260138,0.1454157952882435,0.1060091356295422,0.1007553214097389
2025-06-16,0.18839809268591956,0.1503841419996163,0.1267119076281889,0.1343231445955318
2025-06-17,0.17074312786728046,0.1473205430979661,0.1301714276004121,0.1270764402952293
2025-06-18,0.0029967143597962966,0.148843499391592,0.1351299377226376,0.1460065696872128
2025-06-20,0.0467795970554424,0.1457491015017952,0.1251100029145391,0.1358122689974175
2025-06-23,0.19555572153459339,0.1462156046828339,0.1180586406811294,0.1333334013647626
