,SquaredReturn,Trailing30DayVol,NaiveVariance,GARCHVariance,EGARCHVariance,NaiveForecast,GARCHForecast,EGARCHForecast
2024-08-19,9.055657122053533e-05,0.1952817181140859,0.00014832134443957948,0.00013973497834431444,8.74031458537644e-05,0.1933312669972812,0.1876518439631416,0.1484102178259591
2024-08-20,2.6487421801568437e-06,0.1953445565431731,0.00015132916440313215,0.00012805739600567852,7.72053902059726e-05,0.1952817181140859,0.1796398168375569,0.13948389990212165
2024-08-21,1.1769564332728966e-05,0.193459492827407,0.0001514265705200355,0.00010701973162707948,7.130230716538489e-05,0.1953445565431731,0.1642223260401095,0.13404544530000634
2024-08-22,6.208612811246775e-05,0.1931704546345627,0.00014851815621046643,9.024699311039198e-05,6.139644329919827e-05,0.193459492827407,0.15080531245224346,0.1243861073890407
2024-08-23,0.00011171080460607063,0.1947764224466792,0.00014807470057033194,8.879833330501254e-05,7.928044359178631e-05,0.1931704546345627,0.1495900397515261,0.14134592949614838
2024-08-26,5.697179274097467e-06,0.1947447895077212,0.00015054704262352077,9.062245990074241e-05,7.10395649798067e-05,0.1947764224466792,0.15111869472367437,0.13379824503673912
2024-08-27,1.883349211499268e-06,0.1939811590565232,0.0001504981469857406,7.782914373309336e-05,6.851413051245195e-05,0.1947447895077212,0.14004622172961156,0.1313984813045337
2024-08-28,3.389946346746216e-05,0.1902600953902223,0.0001493201986861593,6.58267607533848e-05,5.8296070510515794e-05,0.1939811590565232,0.128795744144956,0.12120482568218965
2024-08-29,8.03477835774321e-09,0.1888204939561694,0.00014364644403927176,6.384079344870652e-05,6.865536878239716e-05,0.1902600953902223,0.1268380067214636,0.13153384710090435
2024-08-30,9.026513802306928e-05,0.1894207136487444,0.00014148086880099922,5.470165261006973e-05,5.913065637300062e-05,0.1888204939561694,0.11740875801122151,0.1220693467091397
2024-09-03,0.0004323837327854703,0.1972789004100619,0.00014238177285396677,6.000908885195319e-05,5.386906538956388e-05,0.1894207136487444,0.12297272214069348,0.11651182119497618
2024-09-04,4.197644116732244e-06,0.1973136276479776,0.00015444033550398065,0.0001317243339589561,0.0001434851717095818,0.1972789004100619,0.18219366662334052,0.19015326258261944
2024-09-05,5.93047577757293e-06,0.1853568655072686,0.0001544947129190665,0.00011034237263740872,0.0001271391761734312,0.1973136276479776,0.16675214512751252,0.17899461554947585
2024-09-06,0.00028809384936812315,0.1915413092353538,0.00013633796662968118,9.365387299328269e-05,0.00011544587066229366,0.1853568655072686,0.15362544058295566,0.17056482464710596
2024-09-09,0.00012396174103596354,0.1915394495218984,0.0001455875918396565,0.0001328425185671942,0.0001798588612485562,0.1915413092353538,0.18296533737004103,0.21289535700582143
2024-09-10,1.8891686786136637e-05,0.1919285450041938,0.00014558476477441215,0.00012777039772366867,0.0001518846735756858,0.1915394495218984,0.1794384023177996,0.19563981634900607
2024-09-11,0.000104178972776558,0.1933512206168501,0.00014617685074375732,0.00010778573454729023,0.00012580153559814029,0.1919285450041938,0.16480899582825306,0.17805051802994382
2024-09-12,7.035407180715402e-05,0.1892647275585632,0.00014835196235724537,0.00010462836738932182,0.00010855155908892107,0.1933512206168501,0.1623771799918606,0.16539344875299056
2024-09-13,2.7136843699259178e-05,0.1844215688682887,0.00014214736943578233,9.686656963542182e-05,9.375714213611073e-05,0.1892647275585632,0.15623820130853497,0.15371011618725652
2024-09-16,2.1777680378018663e-06,0.1744652351841671,0.00013496553596762284,8.42228265526013e-05,8.03015382035251e-05,0.1844215688682887,0.14568511348540567,0.14225325172834652
2024-09-17,1.6690420071285349e-07,0.147103971295882,0.00012078618368201086,7.095944123918656e-05,6.781274110729747e-05,0.1744652351841671,0.1337227699095222,0.13072417817312512
2024-09-18,8.822278706831066e-06,0.1467554497196988,8.587134274214158e-05,6.0326749733276294e-05,5.756656174827184e-05,0.147103971295882,0.1232977734299595,0.12044406818338753
2024-09-19,0.0002863006000185801,0.1499348120334554,8.546492866044065e-05,5.43086230537333e-05,5.866692528444356e-05,0.1467554497196988,0.1169862086296534,0.12158974122712729
2024-09-20,2.9936206353120728e-06,0.1384244782867017,8.920812642661748e-05,9.097525473038905e-05,5.653911056549219e-05,0.1499348120334554,0.15141256286074165,0.11936438272158087
2024-09-23,6.229502893225786e-06,0.1382934835172899,7.603704836883155e-05,7.745381295948274e-05,5.414896491016995e-05,0.1384244782867017,0.13970812741494193,0.1168141222513906
2024-09-24,8.16287086829777e-06,0.1381955489379978,7.589320469582117e-05,6.593443250498493e-05,4.705031814501842e-05,0.1382934835172899,0.1289010356485013,0.108888384011081
2024-09-25,4.874826172410697e-06,0.1322908100809969,7.578575296140691e-05,5.694483632625116e-05,4.133459407808617e-05,0.1381955489379978,0.11979189769853091,0.10206036305871989
2024-09-26,1.5656679868289467e-05,0.1323840086911336,6.944785092018411e-05,5.070258278816549e-05,4.219835520974858e-05,0.1322908100809969,0.11303561767256241,0.10312121756872658
2024-09-27,2.106079962923476e-06,0.1245594576799855,6.954573713148466e-05,4.571623357836612e-05,3.767468504049004e-05,0.1323840086911336,0.1073335495627917,0.09743726510018376
2024-09-30,1.5994388321788126e-05,0.1247921343610115,6.15676924505242e-05,4.102442282133665e-05,3.710122633989991e-05,0.1245594576799855,0.10167671587426905,0.0966928592898916
2024-10-01,8.098151793807556e-05,0.1256715393054096,6.179792380308232e-05,3.8021439735372966e-05,3.341358418357982e-05,0.1247921343610115,0.09788464033398696,0.0917617742541093
2024-10-02,1.7807106478807006e-07,0.1254912354028411,6.267196742615521e-05,5.0728354552836695e-05,5.591684281952047e-05,0.1256715393054096,0.11306434162597352,0.11870570496197375
2024-10-03,3.3487566838806594e-06,0.1254237432751495,6.24922625513146e-05,4.417688306748916e-05,4.788747175791183e-05,0.1254912354028411,0.10551101616896345,0.10985282373700633
2024-10-04,8.183705387616091e-05,0.1251583268957757,6.242506102043892e-05,4.014859350193698e-05,4.6974564568682875e-05,0.1254237432751495,0.10058551368108688,0.10880069058286387
